44,26,66,48
100,30,12,66
65,51,62,84
25,0,10,22
46,31,43,35
44,58,73,48
43,68,94,56
77,100,96,98
67,94,89,71
62,21,28,29
36,0,10,22
65,22,51,47
42,0,10,22
31,23,47,22
83,38,29,66
77,37,40,64
65,52,46,51
94,77,87,98
73,30,59,74
25,19,58,25
100,100,96,98
62,47,40,47
40,14,17,22
46,65,88,67
40,12,31,26
56,47,38,32
58,68,96,98
58,22,49,51
76,64,81,75
60,87,85,65
71,85,91,86
63,15,14,22
64,47,49,65
83,79,96,98
99,95,96,98
67,47,38,51
84,33,55,82
72,69,66,73
65,92,69,74
90,21,10,47
96,79,65,83
92,59,78,98
70,46,53,46
51,14,16,43
65,42,49,51
75,59,37,50
33,39,33,22
56,27,26,27
58,15,37,43
72,52,44,46
