6,43,68,94,56
29,60,87,85,65
8,67,94,89,71
23,46,65,88,67
7,77,100,96,98
5,44,58,73,48
26,58,68,96,98
30,71,85,91,86
38,65,92,69,74
19,25,19,58,25
33,83,79,96,98
20,100,100,96,98
13,31,23,47,22
46,33,39,33,22
34,99,95,96,98
0,44,26,66,48
28,76,64,81,75
37,72,69,66,73
17,94,77,87,98
4,46,31,43,35
25,56,47,38,32
2,65,51,62,84
16,65,52,46,51
42,70,46,53,46
21,62,47,40,47
32,64,47,49,65
44,65,42,49,51
40,96,79,65,83
49,72,52,44,46
24,40,12,31,26
45,75,59,37,50
35,67,47,38,51
41,92,59,78,98
27,58,22,49,51
22,40,14,17,22
3,25,0,10,22
47,56,27,26,27
11,65,22,51,47
18,73,30,59,74
48,58,15,37,43
9,62,21,28,29
10,36,0,10,22
15,77,37,40,64
12,42,0,10,22
43,51,14,16,43
36,84,33,55,82
31,63,15,14,22
14,83,38,29,66
39,90,21,10,47
1,100,30,12,66
